"Team Number","Team Name","Number of Matches","Ranking Points","Win Percent","Sandstorm Points","Hatch Panel Points","Cargo Points","Hab Points","Foul Points","Average Score","Best Match","Worst Match"
"6036","b'Peninsula Robotics'","11","12","45.45","10.36","0.0","15.82","7.91","-0.82","43.18","<a href=https://www.thebluealliance.com/match/2019casf_qm38 target='_blank'>qm38</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm25 target='_blank'>qm25</a>"
"604","b'Quixilver'","16","29","75.0","14.06","0.0","23.06","15.75","-2.88","65.44","<a href=https://www.thebluealliance.com/match/2019casf_qm17 target='_blank'>qm17</a>","<a href=https://www.thebluealliance.com/match/2019casf_sf2m3 target='_blank'>sf3</a>"
"6418","b'The Missfits'","16","15","43.75","14.25","0.0","16.12","13.88","-2.06","55.69","<a href=https://www.thebluealliance.com/match/2019casf_sf2m2 target='_blank'>sf2</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm16 target='_blank'>qm16</a>"
"649","b'M-SET Fish'","18","25","66.67","12.83","0.0","22.0","15.5","-5.22","67.06","<a href=https://www.thebluealliance.com/match/2019casf_qm52 target='_blank'>qm52</a>","<a href=https://www.thebluealliance.com/match/2019casf_f1m2 target='_blank'>f2</a>"
"6662","b'FalconX'","12","8","25.0","10.75","0.0","11.25","7.25","-4.0","37.08","<a href=https://www.thebluealliance.com/match/2019casf_qm53 target='_blank'>qm53</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm27 target='_blank'>qm27</a>"
"668","b'The Apes of Wrath'","16","13","37.5","11.44","0.0","17.62","11.44","-3.0","52.81","<a href=https://www.thebluealliance.com/match/2019casf_qm72 target='_blank'>qm72</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm1 target='_blank'>qm1</a>"
"6718","b'Rocket Dogs'","11","8","18.18","10.64","0.0","9.55","8.18","-4.73","33.55","<a href=https://www.thebluealliance.com/match/2019casf_qm61 target='_blank'>qm61</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm31 target='_blank'>qm31</a>"
"6814","b'Ellipse '","11","8","27.27","10.64","0.0","10.36","10.09","-2.64","40.09","<a href=https://www.thebluealliance.com/match/2019casf_qm10 target='_blank'>qm-10</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm36 target='_blank'>qm36</a>"
"6920","b'Force Fusion'","11","8","27.27","7.09","0.0","13.09","8.18","-4.27","34.45","<a href=https://www.thebluealliance.com/match/2019casf_qm20 target='_blank'>qm-20</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm38 target='_blank'>qm38</a>"
"6962","b'RobotX'","14","16","50.0","10.5","0.0","18.86","10.93","-0.86","51.0","<a href=https://www.thebluealliance.com/match/2019casf_qm13 target='_blank'>qm13</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm55 target='_blank'>qm55</a>"
"7245","b'Lion Bots'","11","12","45.45","8.18","0.0","12.27","8.73","-3.55","37.73","<a href=https://www.thebluealliance.com/match/2019casf_qm78 target='_blank'>qm78</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm27 target='_blank'>qm27</a>"
"7419","b'Tech Support'","16","21","50.0","11.25","0.0","21.75","12.19","-2.44","57.69","<a href=https://www.thebluealliance.com/match/2019casf_qm39 target='_blank'>qm39</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm55 target='_blank'>qm55</a>"
"7445","b'Garage Robotics'","11","13","36.36","11.45","0.0","15.0","11.18","-1.64","47.91","<a href=https://www.thebluealliance.com/match/2019casf_qm51 target='_blank'>qm51</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm43 target='_blank'>qm43</a>"
"7468","b'FireBolts'","14","21","57.14","13.29","0.0","16.71","13.5","-3.0","54.29","<a href=https://www.thebluealliance.com/match/2019casf_qm30 target='_blank'>qm30</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm54 target='_blank'>qm54</a>"
"7478","b'ISTECH'","11","10","27.27","10.64","0.0","12.82","9.55","-2.18","43.0","<a href=https://www.thebluealliance.com/match/2019casf_qm37 target='_blank'>qm37</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm13 target='_blank'>qm-13</a>"
"7686","b'Acalanes High School'","11","9","27.27","10.36","0.0","13.91","9.55","-2.82","43.73","<a href=https://www.thebluealliance.com/match/2019casf_qm58 target='_blank'>qm58</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm38 target='_blank'>qm38</a>"
"7847","b""Lincoln's Horse Power....Abraham Lincoln Robotics Club""","11","10","36.36","9.0","0.0","9.82","7.64","-4.91","34.55","<a href=https://www.thebluealliance.com/match/2019casf_qm41 target='_blank'>qm41</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm14 target='_blank'>qm-14</a>"
"840","b'Aragon Robotics Team'","11","16","45.45","10.64","0.0","13.64","10.64","-5.91","42.55","<a href=https://www.thebluealliance.com/match/2019casf_qm24 target='_blank'>qm24</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm14 target='_blank'>qm-14</a>"
"971","b'Spartan Robotics'","17","36","94.12","13.76","0.0","25.76","18.35","-1.76","74.82","<a href=https://www.thebluealliance.com/match/2019casf_sf1m2 target='_blank'>sf2</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm4 target='_blank'>qm4</a>"
"972","b'Iron Claw'","11","8","36.36","9.82","0.0","14.18","7.91","-3.82","39.73","<a href=https://www.thebluealliance.com/match/2019casf_qm67 target='_blank'>qm67</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm27 target='_blank'>qm27</a>"
