"Team Number","Team Name","Number of Matches","Ranking Points","Win Percent","Sandstorm Points","Hatch Panel Points","Cargo Points","Hab Points","Foul Points","Average Score","Best Match","Worst Match"
"5141","b'GRIFFINITE'","12","18","58.33","12.75","4.5","14.75","10.75","-1.0","47.33","<a href=https://www.thebluealliance.com/match/2019ksla_qm62 target='_blank'>qm62</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm54 target='_blank'>qm54</a>"
"5801","b'CTC Inspire'","16","30","81.25","14.06","8.5","20.81","16.5","-1.5","62.5","<a href=https://www.thebluealliance.com/match/2019ksla_qf1m2 target='_blank'>qf2</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm3 target='_blank'>qm3</a>"
"6359","b'TechKnow Difficulties'","14","13","35.71","11.14","6.0","19.29","8.14","-2.14","45.21","<a href=https://www.thebluealliance.com/match/2019ksla_qm71 target='_blank'>qm71</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm63 target='_blank'>qm63</a>"
"6424","b'Stealth Panther Robotics'","14","20","42.86","11.36","6.71","15.86","13.93","-1.29","50.93","<a href=https://www.thebluealliance.com/match/2019ksla_qm32 target='_blank'>qm32</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm66 target='_blank'>qm66</a>"
"6907","b'The G.O.A.T'","18","15","66.67","12.67","7.78","18.83","13.17","-2.89","55.83","<a href=https://www.thebluealliance.com/match/2019ksla_qm32 target='_blank'>qm32</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm10 target='_blank'>qm10</a>"
"6940","b'Violet Z'","15","18","53.33","12.6","7.2","18.2","7.8","-3.13","48.4","<a href=https://www.thebluealliance.com/match/2019ksla_sf2m1 target='_blank'>sf1</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm3 target='_blank'>qm3</a>"
"6941","b'IronPulse Robotics'","14","22","64.29","11.14","6.57","18.43","11.36","-3.86","50.64","<a href=https://www.thebluealliance.com/match/2019ksla_qm53 target='_blank'>qm53</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm17 target='_blank'>qm17</a>"
"7513","b'Muskrat'","12","9","25.0","11.0","4.0","11.0","7.25","-3.25","34.25","<a href=https://www.thebluealliance.com/match/2019ksla_qm33 target='_blank'>qm33</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm8 target='_blank'>qm8</a>"
"7785","b'Mechanical Mustangs'","13","20","61.54","11.77","8.46","17.08","11.54","-1.38","50.85","<a href=https://www.thebluealliance.com/match/2019ksla_qm68 target='_blank'>qm68</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm7 target='_blank'>qm7</a>"
"935","b'RaileRobotics'","18","22","77.78","13.83","7.67","17.83","13.67","-1.56","57.78","<a href=https://www.thebluealliance.com/match/2019ksla_qm34 target='_blank'>qm34</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm26 target='_blank'>qm26</a>"
"938","b'Code Gold'","12","7","16.67","9.5","3.67","12.5","9.25","-6.83","35.42","<a href=https://www.thebluealliance.com/match/2019ksla_qm63 target='_blank'>qm63</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm8 target='_blank'>qm8</a>"
